key,LT,bg,bih,de,dk,en,es,fi,fil,fr,id,it,ja,ko,mne,nl,pl,pt,ro,ru,srb,tr,uk,vi,zh
window_scrapper_desc,,,,,,Scraps Games into Videos,,,,Décompose les jeux en vidéos,,,ゲームファイルを分解して動画ファイルにします,게임을 비디오로 치환,,,,Separa Jogos em Vídeos,,,,,,,
window_game_engine,,,,,,Game Engine,Motor de juego,,,Moteur de jeu,,,ゲームエンジン,게임 엔진,,,,Motor de Jogo,,,,,,,
research_drivers_desc,,,,,,Unlocks access to HashMaps and driver coding,Desbloquea el acceso a HashMaps y a la codificación de controladores,,,,,,HashMapやドライバーのコーディングができるようになります,,,,,Desbloqueia o acesso à hashmaps e à programação de drivers,,,,,,,
milestone_hacking,,,,,,Hacking,Hackeo,,,,Meretas,,ハッキング,,,,,Hackeamento,,,,,,,
resource_hashmap_int,,,,,,HashMap[int],HashMap[int],,,HashMap[Int],HashMap[int],,HashMap[int],해쉬맵[int],,,HashMap[int],HashMap[int],,,,,,,Hashmap[int]
upgrade_optimization_download_size_desc,,,,,,Reduces file size of downloads by half,Reduce el tamaño de los archivos de descarga a la mitad,,,,,,ダウンロードファイルのサイズを半分にします,,,,,Reduz o tamanho de downloads pela metade,,,,,,,
resource_payload_damage_desc,,,,,,Damages breach targets; produced using Hack Power.,,,,Endommage les cibles infiltrées ; produit à l'aide de la puissance de hack.,Menyerang target penerobosan; diproduksi menggunakan Tenaga Retas.,,データ侵入の標的にダメージを与えます。ハックパワーを使って生産されます,침투한 타겟을 손상시킴; 해킹 파워를 통해 생산,,,Zadaje obrażenia celom naruszenia; generowane z wykorzystaniem Mocy Hakowania.,Danifica alvos de brechas; produzido usando Poder de Hack.,,,,,,,
upgrade_improved_ai_games,,,,,,Improved Game Generation,,,,Génération de Jeu améliorée,,,改良版ゲーム生成,,,,,Geração de Jogo Aprimorada,,,,,,,
resource_hashmap_bitflag,,,,,,HashMap[BitFlag],HashMap[BitFlag],,,HashMap[BitFlag],HashMap[BitFlag],,HashMap[BitFlag],해쉬맵[BitFlag],,,HashMap[BitFlag],HashMap[BitFlag],,,,,,,Hashmap[BitFlag]
window_code_float,,,,,,Code float,,,,Code float,,,floatコーディング,,,,,Programar float,,,,,,,程式生成：float
window_hack_desc,,,,,,Provides Hack Boost using AI Power,,,,Fournit un boost de Hack en utilisant la puissance de l'IA,Menyediakan Pelaju Retas menggunakan Tenaga AI,,AIパワーを使用してハックブーストを生産します,AI 파워를 사용해 해킹 부스트 제공,,,,Fornece Impulso de Hack usando Poder de IA,,,,,,,
research_hack_skills,,,,,,Hack Skills,Habilidades de hackeo,,,,,,ハックスキル,,,,,Habilidade de Hack,,,,,,,
resource_text,,,,,,Text,Texto,,,Texte,Teks,,テキスト,텍스트,,,Tekst,Texto,,,,,,,文檔
guide_file_modifiers_infected,,,,,, Infected: Reduces value by 4x, Infectado: Reduce el valor en 4x,,, Infecté: Réduit la valeur par x4, Terinfeksi: Menurunkan nilai sebesar 4x,, 感染:価値が1/4になる,,,,, Infectado: Reduz o valor em 4x,,,,,,,
window_decomposer,,,,,,Decomposer,,,,Décomposeur,,,デコンポーザー,디컴포저,,,,Decompositor,,,,,,,
window_movie_maker_desc,,,,,,Makes Videos from Image and Sound files,Crea vídeos a partir de archivos de imagen y sonido.,,,Produit des vidéos à partir de fichiers image et son,,,画像ファイルと音声ファイルから動画ファイルを作成します,이미지와 사운드를 비디오로 치환,,,,Cria Vídeos através de Imagens e Sons,,,,,,,
upgrade_improved_ai_videos,,,,,,Improved Video Generation,,,,Génération de Vidéo améliorée,,,改良版動画生成,,,,,Geração de Vídeo Aprimorada,,,,,,,
upgrade_antivirus_desc,,,,,,"Unlocks the Virus Scanner, which scans files for viruses, increasing their value","Desbloquea el Escáner de virus, que analiza los archivos en busca de virus, lo que aumenta su valor.",,,"Débloque le Virus Scanner, qui analyse les fichiers à la recherche de virus, augmentant leur valeur",,,ファイルのウイルスをスキャンして価値を増加させるウイルススキャナーをアンロックします,,,,,"Desbloqueia o Scanner de Vírus, que escaneia arquivos para aumentar seu valor",,,,,,,
achievement_video_completionist,,,,,,Video Completionist,,,,,Sepuh Video,,動画完璧主義者,,,,,Completista de Vídeo,,,,,,,
upgrade_application_desc,,,,,,Grants an application point,,,,,,,アプリケーションポイントを付与します,,,,,Concede um Ponto de Aplicação,,,,,,,
tutorial_desc_add_uploader,,,,,,Press to position the node on your desktop,Presione para posicionar el nodo en su escritorio,,,,,,ここを押してノードをデスクトップに配置しましょう,,,,,Pressione para adicionar o nódulo à sua área de trabalho,,,,,,,
resource_neuron_image,,,,,,Image Neuron,,,,Image Neuron,Neuron Gambar,,画像ニューロン,이미지 뉴런,,,Neuron Obrazu,Neurônio de Imagem,,,,,,,
upgrade_gpu_desc,,,,,,Unlocks the GPU,Desbloquea la GPU,,,Débloque le GPU,,,GPUをアンロックします,,,,,Desbloqueia a GPU,,,,,,,解鎖GPU
guide_window_coder,,,,,,Provides Code Speed based on your Contribution Level. Contribution Level can be upgraded by inserting Contribution.,,,,,,,貢献レベルに基づいてコーディング速度を生産します。貢献レベルは入力された貢献によって上昇します。,,,,,Fornece Velocidade de Programação baseado no seu Nível de Contribuição. Seu nível pode ser aumentado inserindo Contribuição.,,,,,,,
stats_government_breached,,,,,,Governments Breached,,,,Gouvernement Infiltrés,Pemerintah Diterobos,,データ侵入した政府の数,,,,,Brechas de Governo,,,,,,,
window_code_float_desc,,,,,,Generates float variables using Code Speed,,,,Génère des variable float en utilisant la vitesse de codage,,,コーディング速度に基づいてfloat変数を生産します,,,,,Gera variáveis float usando Velocidade de Programação,,,,,,,
research_trojan,,,,,,Trojans,Troyanos,,,Trojans,,,トロイの木馬,,,,,Cavalo de Tróia,,,,,,,
resource_array_bool_desc,,,,,,Array variable produced from a collection of bool.,,,,Array généré à partir d'une collection de Bool.,Variabel Array yang diproduksi dari sekumpulan bool.,,boolの集合からなるArray型の変数です,bool 획득 후 생산되는 배열 변수,,,Zmienna tablicowa wytworzona z kolekcji wartości typu bool,Variável produzida de uma coleção de bool.,,,,,,,
achievement_image_completionist,,,,,,Image Completionist,,,,,Sepuh Gambar,,画像完璧主義者,,,,,Completista de Imagem,,,,,,,
exported,,,,,,Exported,Exportado,,,Exporté,Terekspor,,エクスポート完了,,,,Eksportowano,Exportado,,,,,,,
<!MissingKey:Vulnerable>,,,,,,Vulnerable,Vulnerable,,,Vulnérable,Lemah,,脆弱な,취약함,,,Podatne,Vulnerável,,,,,,,
upgrade_improved_ai_texts_desc,,,,,,Increases the value of generated Text by 100%,,,,Augmente la valeur des textes générés de 100 %,,,生成テキストの価値を100%増やします,,,,,Aumenta o valor de Textos gerados em 100%,,,,,,,
window_scrapper,,,,,,Scrapper,,,,Scrapper,,,スクラッパー,스크래퍼,,,,Raspador,,,,,,,
resource_token_desc,,,,,,"Rare currency for unique perks, boosts, and services.",,,,"Devise rare pour des avantages, des boosts et des services uniques.","Mata Tukar yang langka untuk keuntungan, pelaju, dan layanan.",,特殊効果、ブースト、補助機能に使用する貴重な通貨です,"기술이나 부스트, 서비스들을 해금하기 위한 희귀한 화폐",,,"Rzadka waluta na unikalne korzyśći, wzmocnienia i usługi. ","Câmbio raro usado para benefícios únicos, impulsos e serviços.",,,,,,,
resource_hashmap_vector,,,,,,HashMap[Vector],HashMap[Vector],,,HashMap[Vector],HashMap[Vector],,HashMap[Vector],해쉬맵[Vector],,,HashMap[Vector],HashMap[Vector],,,,,,,Hashmap[Vector]
window_code_bool_desc,,,,,,Generates bool variables using Code Speed,,,,Génère des variables bool en utilisant la vitesse de codage,,,コーディング速度に基づいてbool変数を生産します,,,,,Gera variáveis bool usando Velocidade de Programação,,,,,,,
upgrade_optimization_verifier,,,,,,Optimized Integrity Check,,,,,,,整合性チェック最適化,,,,,Verificação de Integridade Otimizada,,,,,,,
research_distillation,,,,,,Data Distillation,,,,,,,データ蒸留,,,,,Destilação de Dados,,,,,,,
guide_window_analyzer,,,,,,"Pre-analyzes files using Clock Speed, adding the pre-analyed modifier and reducing the time it takes to be researched in a Data Lab by 2x.
The amount of cycles (C) required is based on 2x the file size.",,,,,,,"クロック速度を使用してファイルを分析し、データラボでリサーチする際にかかる時間を半分にします。
必要なサイクル(C)の量はファイルサイズに応じて決まります。",,,,,"Pré-analisa arquivos usando Velocidade de Clock, adicionando o modificador pré-analisado e reduzindo o tempo necessário para ser pesquisado no Laboratório de Dados em 2x. 
A quantidade de ciclos (C) necessária é baseada em 2x o tamanho do arquivo.",,,,,,,
window_generator_text_desc,,,,,,Generates custom Text files using Text Neurons,,,,Génère des fichiers texte personnalisés à l'aide de Neurons de texte,,,テキストニューロンを使用して任意のテキストファイルを生成します,텍스트 뉴런을 사용해 커스텀 텍스트 파일 생산,,,,Gera arquivos de Texto customizados usando Neurônios de Texto,,,,,,,
service_optimization_reset_desc,,,,,,Resets and refunds all optimization points and upgrades,Restablece y reembolsa todos los puntos de optimización y actualizaciones.,,,,Mengulang dan mengembalikan semua poin optimalisasi dan peningkatan,,全最適化ポイントとアップグレードをリセットし、払い戻します。,,,,,Reseta e reembolsa todos pontos de otimização e suas melhorias,,,,,,,
window_processing_seller,,,,,,Processing Seller,,,,Vendeur de puissance CPU,Jasa Proses,,処理速度売却器,프로세스 셀러,,,,Vendedor de Processamento,,,,,,,
owned,,,,,,Owned,Comprado,,,Acquis,Dimiliki,,所持済,보유중,,,Posiadane,Adquirido,,,,,,,已擁有
guide_window_network,,,,,,"Hardware-type node. Generates Download and Upload Speed based on its level, which can be increased with Money, and its performance can be further boosted by Component Boost.","Nodo de tipo hardware. Genera velocidad de descarga y subida según su nivel, que puede aumentarse con dinero. Su rendimiento puede mejorarse aún más con la función de potenciación de componentes.",,,"Nœud de type Hardware. Génère de la vitesse de Download et d’Upload en fonction de son niveau, qui peut être augmenté avec de l'Argent, et dont les performances peuvent être encore améliorées via le Booster de composant.",,,ハードウェアタイプのノードです。レベルに応じてダウンロード速度とアップロード速度を生産します。レベルはクレジットを使って上げることができ、設備ブーストを使って性能をさらに上げることもできます。,,,,,"Nódulo do tipo hardware. Fornece Velocidade de Download e Upload baseado no seu nível, que pode ser aprimorado com Dinheiro, e seu desempenho pode ser impulsionado com Impulso de Componente.",,,,,,,
window_code_int_desc,,,,,,Generates int variables using Code Speed,,,,Génère des variable int en utilisant la vitesse de codage,,,コーディング速度に基づいてint変数を生産します,,,,,Gera variáveis int usando Velocidade de Programação,,,,,,,
guide_window_task_scheduler,,,,,,Converts GPU Speed into Clock Speed with half efficiency.,,,,,,,GPU速度を半分の比率でクロック速度に変換します。,,,,,Converte Velocidade de GPU em Velocidade de Clock com metade de eficiência.,,,,,,,
resource_hashmap_char,,,,,,HashMap[char],HashMap[char],,,HashMap[Char],HashMap[char],,HashMap[char],해쉬맵[char],,,HashMap[char],HashMap[char],,,,,,,Hashmap[char]
invalid_project_desc,,,,,,Input valid code,Ingrese un código válido,,,Saisissez un code valide,Masukkan kode yang benar,,有効なコードを入力してください,유효한 코드 입력,,,Wprowadź ważny kod,Insira um código válido,,,,,,,
upgrade_processor_desc,,,,,,Unlocks the Processor,Desbloquea el Procesador,,,Débloque le CPU,,,プロセッサーをアンロックします,,,,,Desbloqueia o Processador,,,,,,,
window_variable_combiner,,,,,,Variable Combiner,,,,Combineur de variables,,,変数合成器,,,,,Combinador de Variáveis,,,,,,,變量合成器
<!MissingKey:Normal>,,,,,,Normal,Normal,,,Normal,Normal,,普通,중간,,,Normalny,Normal,,,,,,,偏小
upgrade_optimization_enhancement_desc,,,,,,Reduces clock cycles required by the Enhancer by half,,,,,,,エンハンサーに必要なクロックサイクルを半分にします,,,,,Reduz pela metade os ciclos de clock necessários pelo Aprimorador,,,,,,,
tutorial_desc_open_menu2,,,,,,Open the utilities nodes menu,Abre el menú de nodos de utilidades,,,,,,ユーティリティノードメニューを開きましょう,,,,,Abra o menu de nódulos de utilidade,,,,,,,
tutorial_desc_move_uploader,,,,,,Move the Uploader to the indicated location and release it,Mueva el cargador a la ubicación indicada y suéltelo,,,,,,アップローダーを指示された場所に移動しましょう,,,,,Mova o Uploader até a região indicada e largue-o,,,,,,,
window_jet_cooler,,,,,,Jet Cooler,Enfriador de chorro,,,Turbo Refroidisseur,,,ジェットクーラー,,,,,Resfriador a Jato,,,,,,,
achievement_agi,,,,,,Artificial General Intelligence,Inteligencia Artificial General,,,,,,汎用人工知能,,,,,Inteligência Geral Artificial,,,,,,,
research_hacking_desc,,,,,,Unlocks access to hacking,Desbloquea el acceso a hacer hackeos,,,Débloque l'accès au hacking,,,ハッキングが利用可能になります,,,,,Desbloqueia o acesso ao hackeamento,,,,,,,
perk_automated_crypto_seller_desc,,,,,,"Unlocks the Auto Crypto Seller, which sells Coins in exchange for Money","Desbloquea el Vendedor automatizado de criptomonedas, que vende monedas a cambio de dinero.",,,,,,暗号通貨を売却してクレジットを獲得する自動暗号通貨売却器をアンロックします,,,,,"Desbloqueia o Auto Vendedor de Cripto, que vende criptomoedas em troca de dinheiro",,,,,,,
resource_text_desc,,,,,,Text file used in uploading and research.,,,,Fichier texte utilisé dans l'uploading et la recherche.,File teks digunakan dalam mengunggah dan penelitian.,,アップロードやリサーチに使用するテキストファイルです,업로드와 연구에 사용되는 텍스트 파일,,,,Arquivo de texto usado para upload e pesquisa.,,,,,,,
perk_system_upgrade_desc,,,,,,Multiplicatively increases system performance by 20%,,,,,,,システム性能を乗算的に20%増加させます,,,,,Multiplicativamente aumenta a performance do sistema em 20%,,,,,,,
achievement_first_upload,,,,,,Commencement,Comienza,,,Commencent,Permulaan,,はじめの一歩,,,,,Início,,,,,,,
resource_bigint_desc,,,,,,Complex variable produced from coding using int + int.,Una variable compleja producida a partir de la codificación utilizando int + int.,,,Variable complexe produite à partir du codage en utilisant int + int.,Variabel Kompleks yang diproduksi dari pengkodean menggunakan int + int.,,intとintを使ってコーディングすることで生産される複素数型の変数です,int + int의 조합으로 코딩 시 생산되는 복소 변수,,,"Zmienna złożona wytworzona przy użyciu kodowania z wykorzystaniem typu int + int.
",Variável complexa produzida através da programação usando int + int.,,,,,,,
achievement_aspirant_dev_desc,,,,,,Unlock all applications,Desbloquea todas las aplicaciones,,,,Buka semua aplikasi,,全てのアプリケーションをアンロックする,,,,,Desbloqueie todas aplicações,,,,,,,
schematic_name,,,,,,Schematic name,Nombre del esquema,,,Nom du schéma,Nama Skema,,回路図名,개요명,,,Nazwa schematu,Nome do esquema,,,,,,,
setting_fps_limit,,,,,,FPS Limit,Límite de FPS,,,Limite de FPS,Batas FPS,,FPS上限,,,,Limit Klatek Na Sekundę,Limite de FPS,,,,,,,
driver,,,,,,Driver,Controladores,,,,,,ドライバー,,,,,Driver,,,,,,,
resource_code_driver,,,,,,Driver Code,,,,Driver Code,Kode Driver,,ドライバーコード,드라이버 코드,,,,Código de Driver,,,,,,,
window_storage_desc,,,,,,Stores files to be used in a Server,Almacena archivos que se utilizarán en un servidor,,,Stocke les fichiers à utiliser sur un serveur,Simpan file untuk digunakan dalam Server,,ファイルを貯蔵し、サーバーで使用できるようにします,서버에 사용될 파일을 저장,,,,Armazena arquivos para ser usado em um Servidor,,,,,,,
<!MissingKey:Distributes materials into two different outputs>,,,,,,Distributes materials into two different outputs,Distribuye los materiales en dos salidas diferentes,,,Distribue les matériaux en deux sorties différentes,,,マテリアルを2つの出力に分割します,,,,,Divide materiais em duas saídas diferentes,,,,,,,
stats_max_tokens,,,,,,Total Tokens,Total de tokens,,,Total Tokens,Total Token,,合計トークン,,,,,Fichas Totais,,,,,,,總代幣量
resource_hashmap_vector_desc,,,,,,HashMap variable produced from an Array[String] and an Array[Vector].,,,,HashMap générée à partir d'un Array[String] et d'un Array[Vector].,Variabel HashMap yang diproduksi dari Array[String] dan Array[Vector].,,Array[String]とArray[Vector]のペアからなるHashmap型の変数です,배열[String]과 배열[Vector]로 생산되는 해쉬맵 변수,,,"Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[Vector]

",Variável HashMap produzida usando um Array[String] e um Array[Vector].,,,,,,,
labs_os,,,,,,Labs OS,Labs OS,,,LabsOS,Lab OS,,Labs OS,Labs OS,,,Labs OS,Labs OS,,,,,,,Labs OS
upgrade_optimization_quarantine_desc,,,,,,Reduces clock cycles required by the Quarantine by half,,,,,,,検疫に必要なクロックサイクルを半分にします,,,,,Reduz pela metade os ciclos de clock necessários pela Quarentena,,,,,,,
portuguese,,,,,,Portuguese,Portugues,,,Portugais,Portugis,,ポルトガル語,,,,Portugalski,Português,,,,,,,葡萄牙文
upgrade_dissymmetry_desc,,,,,,Doubles Download Speed,,,,Double la vitesse de Download,,,ダウンロード速度を2倍にします,,,,,Dobra a Velocidade de Download,,,,,,,
tool_connection_editor_off,,,,,,Connection Editor Off,Editor de conexiones desactivado,,,Éditeur de connexion désactivé,Penyusun Koneksi Mati,,接続エディタモードオフ,연결선 편집기 꺼짐,,,Edytor łączeń Wyłączony,Editor de Conexão OFF,,,,,,,
resource_float,,,,,,float,float,,,float,float,,float,float,,,float,float,,,,,,,float
window_overclocker_desc,,,,,,Sets overclocking amount,Establece la cantidad de overclocking,,,Règle le niveau d'overclocking,,,オーバークロック量を設定します,,,,,Configura a quantia de overclock,,,,,,,
resource_heat,,,,,,Heat,Calor,,,Heat,Panas,,発熱,과열,,,Ciepło,Calor,,,,,,,
window_breach_government,,,,,,Breach Government,,,,Infiltrer Gouvernement,,,政府データ侵入,,,,,Invadir Governo,,,,,,,
upgrade_hack_breach_critical_chance_desc,,,,,,Adds 2% to the chance of generating a critical damage,Añade un 2% a la probabilidad de generar daño crítico.,,,,,,クリティカルダメージ発生率を2%増やします,,,,,Adiciona 2% de chance para a chance de dano crítico,,,,,,,
upgrade_premium_sounds,,,,,,Premium Sounds,Sonidos Premium,,,Sons Premium,,,高品質音声,,,,,Sons Premium,,,,,,,
window_air_cooler,,,,,,Air Cooler,Enfriador de aire,,,Ventilateur,,,空冷器,,,,,Refrigerador de Ar,,,,,,,
action_watch,,,,,,Watch,Mirar,,,Regarder,Tonton,,視聴する,시청,,,Obejrz,Assistir,,,,,,,觀看
resource_hashmap_bigint_desc,,,,,,HashMap variable produced from an Array[String] and an Array[BigInt].,,,,HashMap générée à partir d'un Array[String] et d'un Array[BigInt].,Variabel HashMap yang diproduksi dari Array[String] dan Array[BigInt].,,Array[String]とArray[BigInt]のペアからなるHashmap型の変数です,배열[String]과 배열[BigInt]로 생산되는 해쉬맵 변수,,,"Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[BigInt]

",Variável HashMap produzida usando um Array[String] e um Array[BigInt].,,,,,,,
guide_window_gpu_synchronizer,,,,,,Synchronizes multiple GPU Speed into a single speed output.,,,,,,,複数のGPU速度を1つの出力にまとめます。,,,,,Sincroniza múltiplas Velocidade de GPU em uma única velocidade.,,,,,,,
guide_tokens_desc,,,,,,"Tokens are a special currency of high scarcity.

[h]Uses[/h]
[l]Perks:[/l] Offer permanent enhancements, either by boosting your performance or unlocking new nodes.
[l]Boosts:[/l] Provides a short-term advantage.
[l]Services:[/l] Allows to revert specific choices, such as refunding Hack Points

[h]Acquisition[/h]
[l]Collecting Spawns:[/l] Tokens periodically appear throughout the desktop.
[l]Completing Achievements:[/l] Unlocking achievements will reward you with tokens.
[l]Fulfilling Upload Requests:[/l] Completing upload requests is another way to earn tokens.
[l]In-App Purchases:[/l] Tokens can also be acquired through in-app purchases.",,,,"Les Tokens sont une monnaie spéciale, extrêmement rare.

[h]Utilisations[/h]
[l]Avantages :[/l] Offrent des améliorations permanentes, en boostant vos performances ou en débloquant de nouveaux nœuds.
[l]Boosts :[/l] Fournissent un avantage temporaire.
[l]Services :[/l] Permettent d’inverser certains choix, comme rembourser des Hack Points.

[h]Acquisition[/h]
[l]Collecte lors des apparitions :[/l] Les Tokens apparaissent périodiquement sur le bureau.
[l]Récompenses des Succès :[/l] Débloquer des succès vous rapporte des Tokens.
[l]Réponse aux Requêtes d'Upload:[/l] Compléter des Requêtes d'Upload est un autre moyen de gagner des Tokens.
[l]Achats intégrés :[/l] Les Tokens peuvent également être obtenus via des achats intégrés.",,,"トークンは希少性の高い特別な通貨です。

[h]用途[/h]
[l]特殊効果[/l]
性能向上や新規ノードの解放により、永続的な強化をもたらします。
[l]ブースト[/l]
短期間有利な効果をもたらします。
[l]補助機能[/l]
ハックポイントの払い戻しなど、特定の選択を元に戻すことが可能です。

[h]入手方法[/h]
[l]出現したものを収集する[/l]
トークンはデスクトップ上に定期的に出現します。
[l]実績達成[/l]
実績を解除するとトークンが報酬として得られます。
[l]アップロード依頼の完了[/l]
アップロード依頼を完了することでもトークンを獲得することができます。
[l]アプリ内課金[/l]
アプリ内課金でもトークンを入手可能です。",,,,,"Os tokens são uma moeda especial de alta escassez.

[h]Usos[/h]
[l]Vantagens:[/l] Oferecem melhorias permanentes, seja aumentando seu desempenho ou desbloqueando novos nós.
[l]Impulsos:[/l] Proporcionam uma vantagem de curto prazo.
[l]Serviços:[/l] Permitem reverter escolhas específicas, como reembolsar pontos de hack.

[h]Aquisição[/h]
[l]Coleta de Spawns:[/l] Os tokens aparecem periodicamente na área de trabalho.
[l]Conclusão de conquistas:[/l] Desbloquear conquistas lhe renderá tokens.
[l]Atendimento a solicitações de upload:[/l] Concluir pedidos de upload é outra maneira de ganhar tokens.
[l]Compras no aplicativo:[/l] Os tokens também podem ser adquiridos por meio de compras no aplicativo.",,,,,,,
menu_tutorial,,,,,,Tutorial,Tutorial,,,Tutoriel,Tutorial,,チュートリアル,튜토리얼,,,Samouczek,Tutorial,,,,,,,教程
resource_array_int_desc,,,,,,Array variable produced from a collection of int.,,,,Tableau généré à partir d'une collection de Int.,Variabel Array yang diproduksi dari sekumpulan int.,,intの集合からなるArray型の変数です,int 획득 후 생산되는 배열 변수,,,Zmienna tablicowa wytworzona z kolekcji wartości typu int,Variável produzida de uma coleção de int.,,,,,,,
upgrade_breach_research_speed_multiplier,,,,,,Unethical Research,,,,,,,非人道的な研究,,,,,Pesquisa Antiética,,,,,,,
upgrade_heat_sink_desc,,,,,,Increases Heat Sink limit by 1,,,,Augmente la limite du Refroidisseur de 1,,,放熱器の上限を1増やします,,,,,Aumenta o limite de Dissipadores de Calor em 1,,,,,,,
active,,,,,,Active,Activo,,,Actif,Aktif,,アクティブ,액티브,,,Aktywny,Ativo,,,,,,,已啟動
code_expired,,,,,,Code expired,Código expirado,,,Code expiré,Kode kadaluarsa,,期限切れのコードです,,,,Kod nieważny,Código expirado,,,,,,,
window_mine_token,,,,,,Mine Token,Mina de Tokens,,,Minage Token,,,トークンマイナー,,,,,Minerar Fichas,,,,,,,
upgrade_breach_money_multiplier_desc,,,,,,Multiplicatively increases Money gained by 20%,,,,,,,クレジット獲得量を乗算的に20%増加させます,,,,,Multiplicativamente aumenta o Dinheiro ganho em 20%,,,,,,,
guide_file_modifiers_enhanced,,,,,, Enhanced: Increases quality and size by 2x,,,, Optimisé: Augmente la qualité et la taille par x2, Ditingkatkan: Menaikkan kualitas dan ukuran sebesar 2x,, 高品質:品質とサイズが2倍になる,,,,, Aprimorado: Aumenta a qualidade e tamanho em 2x,,,,,,,
